trial_id,group,a_w,one_minus_aw,delta_um,delta_p1_um,delta_ray_std,n_rays,delta_fallback,S,r_break_um
agar.2,agar,1.0,0.0,77.8,25.9,53.2,37,False,1.271687197457725,2100.0
agar.3,agar,1.0,0.0,92.4,45.3,55.4,39,False,1.2475301478294347,1500.0
agar.4,agar,1.0,0.0,163.5,54.0,120.1,33,False,1.1623332485578017,2500.0
agar.5,agar,1.0,0.0,100.1,34.6,97.7,31,False,1.245719454081558,2500.0
agar.6,agar,1.0,0.0,101.6,25.6,80.6,42,False,1.1971305582767033,1500.0
1to1.1,1:1,0.87,0.13,420.5,411.6,31.6,30,False,1.4662063607620837,1500.0
1to1.2,1:1,0.87,0.13,286.6,281.3,30.2,28,False,1.3782969590902074,1100.0
1to1.3,1:1,0.87,0.13,420.1,406.4,42.6,27,False,1.360405745145149,1500.0
1to1.4,1:1,0.87,0.13,363.7,363.6,42.9,27,False,1.280039104333381,1900.0
1to1.5,1:1,0.87,0.13,462.7,441.4,47.2,29,False,1.4443110515970945,1100.0
2to1.1,2:1,0.75,0.25,681.1,622.0,78.3,24,False,1.4054116829870076,1300.0
2to1.2,2:1,0.75,0.25,803.2,772.1,42.1,23,False,1.4957338813666161,700.0
2to1.3,2:1,0.75,0.25,933.4,883.8,112.3,20,False,1.3596307765698188,900.0
2to1.4,2:1,0.75,0.25,872.9,857.1,69.5,21,False,1.4498363166510282,900.0
2to1.6,2:1,0.75,0.25,1005.4,971.7,44.9,24,False,1.5214964002103017,500.0
